step,ppo_actor/task_reward/avg,rollout/reward,ppo_actor/seq_len/avg,timeperf/train_step,timeperf/update_weights,timeperf/rollout
1,0.35469,0.35469,503.05,36.625,44.543,33.468
2,0.38438,0.38438,509.53,35.955,38.623,26.721
3,0.40312,0.40313,512.57,38.435,39.205,27.31
4,0.41328,0.41328,509.02,38.703,38.294,26.751
5,0.37813,0.37812,515.65,38.318,39.032,28.731
6,0.33984,0.33984,534.22,38.389,38.282,27.58
7,0.38281,0.38281,514.61,38.178,38.638,27.096
8,0.39531,0.39531,488.47,34.559,39.043,26.26
9,0.42188,0.42188,511.47,38.271,40.861,28.901
10,0.28125,0.28125,537.84,37.872,40.102,28.199
11,0.40625,0.40625,512.88,38.248,40.283,26.943
12,0.40859,0.40859,501.17,34.72,38.813,26.348
13,0.325,0.325,505.59,35.664,38.634,28.793
14,0.35547,0.35547,517.75,36.31,38.219,25.559
15,0.40703,0.40703,496.4,34.7,40.317,27.122
16,0.35469,0.35469,518.32,38.158,40.146,24.86
17,0.41719,0.41719,506.8,37.929,41.006,27.386
18,0.44219,0.44219,491.88,34.815,40.169,25.333
19,0.37031,0.37031,513.72,38.562,38.71,27.791
20,0.34531,0.34531,521.81,38.048,38.219,27.173
21,0.34453,0.34453,531.37,38.06,38.461,27.599
22,0.36875,0.36875,516.0,35.009,38.137,26.535
23,0.43906,0.43906,504.12,38.046,39.475,27.206
24,0.44453,0.44453,498.02,34.701,38.144,24.915
25,0.43828,0.43828,493.17,34.33,39.786,26.15
26,0.44844,0.44844,491.11,38.403,40.362,24.655
27,0.40391,0.40391,506.53,34.962,38.5,26.7
28,0.39687,0.39688,498.89,38.397,38.4,23.881
29,0.41641,0.41641,518.76,38.14,38.254,28.03
30,0.43516,0.43516,493.92,38.482,37.268,26.16
31,0.33359,0.33359,523.5,35.514,37.355,27.878
32,0.36562,0.36563,532.89,38.329,37.617,26.771
33,0.37578,0.37578,502.84,38.635,37.822,27.389
34,0.39609,0.39609,505.45,35.132,39.152,26.599
35,0.43437,0.43438,500.47,35.086,35.141,26.99
36,0.42578,0.42578,502.41,38.456,33.645,26.581
37,0.38281,0.38281,509.02,38.649,33.82,26.845
38,0.42422,0.42422,503.37,38.359,33.17,24.134
39,0.36953,0.36953,500.13,34.731,33.44,27.139
40,0.36797,0.36797,516.37,37.869,34.296,25.422
41,0.38438,0.38438,512.73,38.438,35.343,27.306
42,0.37656,0.37656,516.43,38.225,33.53,26.656
43,0.36641,0.36641,510.19,38.294,35.565,28.389
44,0.33906,0.33906,520.51,35.187,34.152,28.3
45,0.40938,0.40937,515.1,34.78,35.002,26.876
46,0.43359,0.43359,486.07,33.578,35.453,24.112
47,0.41172,0.41172,516.9,34.895,33.046,28.338
48,0.44688,0.44687,499.72,34.171,33.774,27.3
49,0.47344,0.47344,470.51,33.353,35.5,25.983
50,0.39141,0.39141,507.65,34.557,34.933,26.371
51,0.48594,0.48594,480.59,38.716,34.103,27.531
52,0.49219,0.49219,491.43,34.613,33.502,26.185
53,0.44453,0.44453,498.13,34.721,33.927,26.347
54,0.40938,0.40937,508.88,35.499,33.586,28.047
55,0.40859,0.40859,495.24,34.243,35.605,26.501
56,0.40781,0.40781,491.11,38.337,33.425,27.726
57,0.35703,0.35703,514.19,38.922,35.763,28.094
58,0.36641,0.36641,503.92,38.334,35.704,28.219
59,0.36719,0.36719,503.82,34.653,33.248,27.468
60,0.38438,0.38438,525.41,38.342,35.365,28.39
61,0.37344,0.37344,494.65,34.177,34.09,26.365
62,0.41172,0.41172,507.34,34.801,35.943,27.622
63,0.38594,0.38594,505.36,37.975,36.094,27.918
64,0.43594,0.43594,497.01,34.673,35.468,25.55
65,0.49141,0.49141,489.37,34.19,35.537,26.241
66,0.37734,0.37734,499.92,38.447,35.927,26.703
67,0.38125,0.38125,499.17,34.679,34.587,27.457
68,0.41953,0.41953,513.05,35.17,34.96,26.767
69,0.40469,0.40469,491.47,38.422,35.761,25.045
70,0.45391,0.45391,491.9,38.403,33.647,27.327
71,0.44141,0.44141,482.24,34.174,34.13,26.629
72,0.42266,0.42266,502.42,34.628,33.806,26.068
73,0.43125,0.43125,485.73,34.391,36.212,26.199
74,0.39609,0.39609,505.0,34.925,35.637,27.443
75,0.45391,0.45391,486.42,34.837,35.033,26.922
76,0.40703,0.40703,512.52,35.301,35.583,25.743
77,0.40391,0.40391,501.75,34.817,33.349,26.089
78,0.36797,0.36797,494.73,39.168,33.284,28.214
79,0.48438,0.48438,489.38,34.455,34.846,27.914
80,0.39766,0.39766,506.59,34.922,33.766,27.897
81,0.44297,0.44297,485.2,34.268,34.413,28.394
82,0.41328,0.41328,502.09,35.078,34.242,27.729
83,0.47891,0.47891,464.44,34.069,32.827,26.472
84,0.50937,0.50938,475.54,34.281,35.111,25.953
85,0.44531,0.44531,470.56,34.525,35.174,28.337
86,0.41797,0.41797,471.13,34.189,34.846,24.809
87,0.41797,0.41797,485.13,34.841,34.711,27.742
88,0.37656,0.37656,512.28,39.337,33.54,27.917
89,0.41719,0.41719,481.07,35.196,32.497,27.014
90,0.47578,0.47578,469.17,34.7,35.017,25.919
91,0.37578,0.37578,516.86,38.791,33.866,28.287
92,0.41094,0.41094,473.6,34.761,33.648,25.42
93,0.48125,0.48125,486.37,34.81,35.888,27.972
94,0.42891,0.42891,495.14,34.872,35.432,27.813
95,0.45469,0.45469,494.89,35.375,34.259,28.819
96,0.45,0.45,484.86,34.6,34.842,26.657
97,0.42578,0.42578,484.64,35.15,36.004,28.212
98,0.44297,0.44297,486.93,34.882,34.241,27.021
99,0.46094,0.46094,489.07,34.539,33.883,27.424
100,0.41016,0.41016,503.02,38.427,34.629,25.955
101,0.39687,0.39687,487.54,34.523,33.677,28.216
102,0.41953,0.41953,494.1,34.582,34.272,25.71
103,0.39375,0.39375,496.24,34.608,35.198,29.068
104,0.45391,0.45391,477.91,33.921,36.768,26.408
105,0.40859,0.40859,485.65,33.944,35.989,27.401
106,0.48203,0.48203,472.8,34.251,36.399,26.814
107,0.47734,0.47734,477.43,33.946,35.244,25.557
108,0.44375,0.44375,492.47,34.87,35.822,27.195
109,0.45547,0.45547,488.11,34.974,34.755,27.364
110,0.45937,0.45937,476.55,39.141,34.507,25.379
111,0.40078,0.40078,497.2,35.009,35.869,28.554
112,0.44063,0.44062,490.45,35.319,35.49,28.066
113,0.41172,0.41172,475.89,38.971,35.67,26.767
114,0.42969,0.42969,493.56,35.064,35.303,27.481
115,0.37891,0.37891,503.08,35.593,35.576,28.1
116,0.48203,0.48203,472.99,34.24,35.682,26.207
117,0.45625,0.45625,482.79,34.193,35.155,28.001
118,0.40234,0.40234,497.11,34.756,36.771,28.448
119,0.43828,0.43828,498.33,34.825,35.312,28.913
120,0.41563,0.41562,506.01,43.904,34.53,27.254
121,0.43516,0.43516,478.49,38.203,34.031,27.09
122,0.41172,0.41172,472.93,33.594,34.739,25.58
123,0.45937,0.45937,452.88,33.552,35.361,27.264
124,0.43516,0.43516,459.72,34.552,34.393,25.465
125,0.475,0.475,473.07,33.849,33.36,25.451
126,0.42188,0.42188,483.59,34.114,35.809,28.326
127,0.50391,0.50391,469.75,33.578,34.285,25.751
128,0.41563,0.41563,485.18,33.995,35.983,29.03
129,0.44922,0.44922,488.07,34.52,33.709,28.409
130,0.46328,0.46328,483.29,34.492,34.727,28.453
131,0.41406,0.41406,492.82,35.193,35.33,28.314
132,0.45625,0.45625,482.64,35.1,34.492,28.897
133,0.45,0.45,487.81,35.113,35.311,26.731
134,0.41484,0.41484,479.53,33.929,35.506,27.732
135,0.52109,0.52109,474.35,34.006,35.917,25.483
136,0.36797,0.36797,491.85,34.464,35.05,27.62
137,0.35938,0.35938,492.08,38.361,35.587,28.722
138,0.47734,0.47734,470.2,33.753,35.863,26.434
139,0.42109,0.42109,484.95,34.228,35.735,25.845
140,0.475,0.475,480.33,34.543,33.858,26.258
141,0.49141,0.49141,474.24,33.777,33.87,24.783
142,0.4875,0.4875,453.4,33.571,34.687,27.549
143,0.46562,0.46563,470.87,34.381,36.405,27.893
144,0.39922,0.39922,482.9,34.343,35.711,26.508
145,0.47656,0.47656,475.02,38.563,33.926,25.843
146,0.39609,0.39609,505.37,38.621,34.095,28.619
147,0.44297,0.44297,487.27,37.772,35.67,29.075
148,0.41563,0.41563,496.69,34.314,34.776,28.366
149,0.39922,0.39922,483.08,33.739,35.652,27.992
150,0.48359,0.48359,470.24,33.566,34.393,27.441
151,0.43437,0.43438,492.98,34.596,33.766,27.471
152,0.45469,0.45469,480.7,34.032,34.424,26.22
153,0.46562,0.46562,478.58,33.784,33.943,28.391
154,0.47969,0.47969,474.95,33.863,34.416,28.02
155,0.41953,0.41953,477.88,33.675,35.654,28.698
156,0.39453,0.39453,491.33,34.288,35.492,28.59
157,0.41953,0.41953,494.57,34.532,35.854,27.243
158,0.44688,0.44687,470.04,33.741,35.422,27.293
159,0.48047,0.48047,461.96,33.556,36.112,26.025
160,0.48516,0.48516,473.53,33.78,34.778,26.811
161,0.45156,0.45156,490.71,34.246,34.587,27.322
162,0.40781,0.40781,500.21,34.38,32.8,28.124
163,0.42344,0.42344,484.33,34.255,34.536,27.951
164,0.43047,0.43047,484.66,38.579,34.317,26.886
165,0.50625,0.50625,455.66,33.802,35.509,25.816
166,0.46328,0.46328,484.24,32.35,35.304,26.744
167,0.52109,0.52109,448.36,31.889,34.401,26.261
168,0.44922,0.44922,487.09,34.004,34.309,28.14
169,0.45078,0.45078,496.3,34.68,35.763,27.246
170,0.45312,0.45312,491.63,34.429,36.21,27.547
171,0.44375,0.44375,452.11,33.769,34.124,25.844
172,0.47266,0.47266,479.53,34.002,35.695,27.323
173,0.39062,0.39062,491.09,34.143,35.529,28.484
174,0.49453,0.49453,465.32,33.803,33.632,27.41
175,0.48672,0.48672,456.96,34.02,36.11,26.563
176,0.46328,0.46328,473.69,34.012,35.55,26.19
177,0.41641,0.41641,466.53,34.15,34.465,26.199
178,0.43437,0.43438,480.41,34.189,35.597,28.246
179,0.40156,0.40156,480.13,34.605,35.311,27.646
180,0.44922,0.44922,511.15,38.761,34.476,29.48
181,0.46016,0.46016,485.15,34.491,35.857,28.278
182,0.45781,0.45781,475.54,34.434,34.495,27.338
183,0.48281,0.48281,475.61,34.934,34.629,28.81
184,0.47422,0.47422,465.61,35.239,35.204,26.7
185,0.48281,0.48281,446.07,34.922,34.688,26.28
186,0.50625,0.50625,475.66,34.819,34.344,26.717
187,0.42969,0.42969,465.38,33.943,33.64,26.894
188,0.44844,0.44844,460.25,33.724,34.469,25.22
