step,ppo_actor/task_reward/avg,rollout/reward,ppo_actor/seq_len/avg,timeperf/train_step,timeperf/update_weights,timeperf/rollout
1,0.36484,0.39103,499.73,47.263,42.569,30.254
2,0.36484,0.38618,499.78,36.211,44.582,29.779
3,0.37187,0.38068,511.59,38.506,41.316,0.025267
4,0.39844,0.343,511.77,38.616,39.75,0.037931
5,0.41719,0.41484,508.04,35.687,37.379,0.036579
6,0.36562,0.42344,515.95,38.858,38.035,0.033393
7,0.32266,0.29922,534.86,39.089,36.724,0.039321
8,0.37734,0.39922,517.23,41.86,40.025,0.040337
9,0.41484,0.41016,487.33,35.336,37.627,0.038248
10,0.42344,0.31719,511.4,34.865,37.093,0.037287
11,0.29922,0.35625,539.11,37.691,40.07,0.037067
12,0.39922,0.41562,513.15,38.048,39.739,0.031784
13,0.41016,0.35781,501.2,37.807,39.197,0.030771
14,0.31719,0.41094,508.51,37.702,35.06,0.029871
15,0.35625,0.43672,518.6,38.625,35.946,0.038756
16,0.41563,0.35703,499.2,38.48,34.381,0.039948
17,0.35781,0.33594,520.21,35.303,33.635,0.037453
18,0.41094,0.34609,509.93,34.984,35.218,0.037978
19,0.43672,0.36953,494.39,35.008,33.468,0.039841
20,0.35703,0.41875,514.69,38.574,33.397,0.034447
21,0.33594,0.43516,522.64,38.606,35.326,0.039423
22,0.34609,0.41172,532.78,38.775,35.11,0.030732
23,0.36953,0.43359,517.55,38.395,34.875,0.039309
24,0.41875,0.41406,505.03,38.699,35.172,0.040721
25,0.43516,0.40312,501.2,39.323,36.117,0.030008
26,0.41172,0.40859,496.82,34.599,34.981,0.033667
27,0.43359,0.43203,492.47,34.286,35.501,0.038404
28,0.41406,0.32578,510.49,34.898,33.837,0.040231
29,0.40312,0.35391,500.45,38.31,35.224,0.027516
30,0.40859,0.36484,520.28,38.412,34.144,0.03805
31,0.43203,0.38359,496.52,34.793,34.024,0.03351
32,0.32578,0.42266,524.74,38.928,36.629,0.03847
33,0.35391,0.42422,535.44,38.713,37.195,0.027965
34,0.36484,0.37422,506.35,35.382,35.665,0.03039
35,0.38359,0.41953,508.51,38.606,36.799,0.036366
36,0.42266,0.36719,502.73,35.281,33.767,0.027478
37,0.42422,0.3625,506.09,34.96,37.049,0.032622
38,0.37422,0.37422,512.71,38.536,34.143,0.023669
39,0.41953,0.36484,506.02,38.51,35.778,0.040227
40,0.36719,0.35781,502.83,35.288,34.476,0.038588
41,0.3625,0.33203,518.93,35.678,34.429,0.038227
42,0.37422,0.39531,515.82,38.332,35.298,0.24655
43,0.36484,0.4375,519.72,38.315,36.084,0.031715
44,0.35781,0.39922,512.51,38.352,33.581,0.038528
45,0.33203,0.425,521.21,35.665,34.546,0.042757
46,0.39531,0.47344,517.67,35.414,35.171,0.041045
47,0.4375,0.39297,488.93,34.746,33.585,0.031194
48,0.39922,0.47969,518.55,35.371,33.688,0.034916
49,0.425,0.47812,501.61,35.074,34.989,0.040106
50,0.47344,0.42734,471.74,38.551,34.941,0.033648
51,0.39297,0.40469,509.27,35.067,33.286,0.03333
52,0.47969,0.40156,482.46,38.815,35.613,0.030739
53,0.47813,0.40859,494.9,38.584,33.968,0.043321
54,0.42734,0.3625,501.42,35.451,35.347,0.040523
55,0.40469,0.3625,511.42,35.562,34.408,0.03812
56,0.40156,0.37266,496.71,35.055,36.772,0.038743
57,0.40859,0.37031,493.91,38.449,34.277,0.03754
58,0.3625,0.35469,516.72,38.546,34.433,0.029163
59,0.3625,0.39375,507.4,38.437,35.017,0.038777
60,0.37266,0.37891,504.79,34.535,35.562,0.042526
61,0.37031,0.4375,527.11,35.964,35.487,0.038159
62,0.35469,0.48516,496.41,34.743,34.907,0.027259
63,0.39375,0.37031,511.1,35.154,35.306,0.042626
64,0.37891,0.36953,511.71,35.609,34.848,0.036755
65,0.4375,0.41094,501.01,38.202,33.951,0.038305
66,0.48516,0.39609,496.34,34.892,36.784,0.039249
67,0.37031,0.43984,503.89,35.119,34.65,0.03478
68,0.36953,0.42891,503.36,35.101,33.51,0.043325
69,0.41094,0.4,517.43,38.634,34.558,0.027769
70,0.39609,0.43203,493.7,34.461,37.05,0.030869
71,0.43984,0.38437,497.86,38.917,36.189,0.040157
72,0.42891,0.45469,487.19,34.584,34.803,0.026185
73,0.4,0.38516,508.94,39.015,34.488,0.038192
74,0.43203,0.39844,490.17,34.922,35.571,0.045266
75,0.38438,0.33906,509.93,38.82,32.97,0.02723
76,0.45469,0.44687,491.37,34.693,34.743,0.038272
77,0.38516,0.37813,520.09,35.547,33.563,0.037723
78,0.39844,0.42969,506.75,35.032,35.687,0.039488
79,0.33906,0.38203,501.25,34.8,33.822,0.038755
80,0.44688,0.4625,497.48,34.95,33.091,0.039697
81,0.37813,0.49141,513.17,35.579,33.789,0.029554
82,0.42969,0.45078,493.56,35.252,33.603,0.032628
83,0.38203,0.39375,509.1,35.107,33.371,0.037622
84,0.4625,0.41719,471.42,34.777,34.675,0.029397
85,0.49141,0.34453,483.9,34.698,35.015,0.027984
86,0.45078,0.40938,478.69,34.327,34.094,0.036853
87,0.39375,0.45781,478.95,34.456,34.942,0.036093
88,0.41719,0.35078,494.16,34.463,36.902,0.33083
89,0.34453,0.38906,520.97,35.801,35.194,0.034085
90,0.40938,0.45938,490.98,34.936,35.519,0.040663
91,0.45781,0.38984,479.16,34.66,33.635,0.032988
92,0.35078,0.44609,525.17,38.933,34.369,0.032808
93,0.38906,0.43672,483.86,34.498,34.769,0.041892
94,0.45937,0.41641,497.86,35.35,34.515,0.040135
95,0.38984,0.44375,502.36,35.624,33.747,0.024397
96,0.44609,0.45078,499.66,35.451,34.387,0.037568
97,0.43672,0.39688,492.25,34.769,34.808,0.031538
98,0.41641,0.38594,493.7,35.354,35.17,0.032853
99,0.44375,0.40703,493.66,35.254,36.872,0.02883
100,0.45078,0.38984,497.72,35.465,35.439,0.039728
101,0.39687,0.43984,511.77,35.96,32.814,0.044908
102,0.38594,0.39922,495.93,34.768,36.049,0.027612
103,0.40703,0.48203,500.51,39.053,34.798,0.03379
104,0.38984,0.44766,504.05,35.492,33.361,0.034786
105,0.43984,0.42813,486.08,35.242,35.096,0.030494
106,0.39922,0.44219,493.55,35.371,35.673,0.038053
107,0.48203,0.43125,479.86,35.262,35.156,0.030531
108,0.44766,0.38203,486.23,34.759,33.191,0.040405
109,0.42812,0.40937,499.38,35.042,34.18,0.028082
110,0.44219,0.39453,496.76,35.201,34.152,0.039927
111,0.43125,0.42266,488.66,34.911,32.823,0.043298
112,0.38203,0.36563,506.14,35.371,34.535,0.043413
113,0.40938,0.46016,500.61,35.374,35.098,0.038962
114,0.39453,0.44375,484.16,34.67,33.949,0.02732
115,0.42266,0.39922,502.37,35.455,32.975,0.040905
116,0.36562,0.42812,512.6,35.65,34.692,0.032491
117,0.46016,0.3875,482.79,34.652,36.344,0.040871
118,0.44375,0.40703,491.46,35.276,35.835,0.043886
119,0.39922,0.40625,506.02,36.035,35.86,0.043869
120,0.42812,0.44922,510.08,35.701,35.622,0.048383
121,0.3875,0.425,517.6,38.685,35.621,0.042419
122,0.40703,0.45469,491.85,35.074,35.203,0.032761
123,0.40625,0.41406,483.18,34.86,33.363,0.036562
124,0.44922,0.48125,465.96,34.315,35.479,0.040528
125,0.425,0.41641,471.67,34.535,33.835,0.043205
126,0.45469,0.44922,488.94,35.091,32.747,0.031881
127,0.41406,0.44453,494.39,35.392,35.965,0.043437
128,0.48125,0.41172,486.82,35.119,34.288,0.045276
129,0.41641,0.43359,497.52,35.097,33.098,0.031536
130,0.44922,0.43906,502.91,35.38,37.091,0.037583
131,0.44453,0.39766,496.12,35.296,37.252,0.037905
132,0.41172,0.48125,506.81,35.77,35.743,0.046037
133,0.43359,0.34375,496.96,35.21,34.329,0.029168
134,0.43906,0.34141,502.45,39.231,33.634,0.28676
135,0.39766,0.45312,497.41,35.302,33.907,0.045631
136,0.48125,0.39453,489.45,35.029,35.473,0.030821
137,0.34375,0.45547,508.28,35.624,36.134,0.039104
138,0.34141,0.46406,508.47,35.683,35.909,0.038381
139,0.45312,0.47734,484.56,34.8,36.146,0.042033
140,0.39453,0.43906,495.91,35.34,35.81,0.034813
141,0.45547,0.37109,495.95,35.307,37.005,0.039416
142,0.46406,0.46484,487.08,35.004,36.494,0.034936
143,0.47734,0.36953,469.28,34.43,37.268,0.041527
144,0.43906,0.43984,489.63,39.372,36.382,0.03269
145,0.37109,0.39531,498.39,35.118,37.025,0.03082
146,0.46484,0.36797,489.83,35.141,36.286,0.039324
147,0.36953,0.45547,521.1,36.253,35.918,0.039009
148,0.43984,0.41328,500.84,35.164,35.327,0.030031
149,0.39531,0.45547,508.36,35.588,35.465,0.040841
150,0.36797,0.44922,496.87,35.242,35.999,0.033494
151,0.45547,0.45703,486.59,34.899,34.734,0.034846
152,0.41328,0.41094,504.12,35.304,34.359,0.031636
153,0.45547,0.38906,494.18,35.803,36.466,0.033855
154,0.44922,0.40156,490.07,34.724,34.864,0.030717
155,0.45703,0.43516,492.74,35.336,35.133,0.037141
156,0.41094,0.46797,490.99,35.231,36.536,0.040436
157,0.38906,0.47031,504.15,35.716,35.688,0.041541
158,0.40156,0.42734,506.39,38.82,34.429,0.040165
159,0.43516,0.38281,480.92,34.263,35.321,0.043149
160,0.46797,0.40859,472.41,34.354,35.051,0.040295
161,0.47031,0.42031,489.47,36.142,35.778,0.04014
162,0.42734,0.50156,504.06,35.928,35.002,0.037671
163,0.38281,0.45781,511.67,35.746,33.979,0.033553
164,0.40859,0.49609,495.0,35.575,37.058,0.035937
165,0.42031,0.42578,494.36,39.246,34.19,0.027318
166,0.50156,0.41328,467.84,34.382,34.617,0.037645
167,0.45781,0.43984,492.81,34.912,35.722,0.041737
168,0.49609,0.425,458.39,38.79,33.73,0.034445
169,0.42578,0.46094,497.22,35.156,35.741,0.042436
170,0.41328,0.37812,507.48,35.592,36.061,0.044237
171,0.43984,0.48203,504.43,35.291,36.847,0.032457
172,0.425,0.47578,464.39,34.422,34.292,0.044107
173,0.46094,0.45781,488.77,34.978,35.877,0.041168
174,0.37813,0.40937,498.95,35.317,34.237,0.041032
175,0.48203,0.42188,477.77,34.65,35.043,0.036474
176,0.47578,0.39141,469.99,34.341,36.522,0.039329
177,0.45781,0.41562,486.3,35.153,34.27,0.039927
178,0.40938,0.44609,479.65,38.97,35.342,0.050905
179,0.42188,0.44141,491.56,35.054,33.451,0.03536
180,0.39141,0.45078,494.13,35.039,35.298,0.32591
181,0.41563,0.45781,525.44,39.343,33.791,0.034124
182,0.44609,0.47578,495.44,35.249,35.289,0.033876
183,0.44141,0.47422,486.32,34.659,34.747,0.044572
184,0.45078,0.41797,488.48,34.731,36.132,0.047533
185,0.45781,0.46016,478.24,34.832,35.234,0.041353
186,0.47578,0.39844,459.32,34.0,35.925,0.040088
187,0.47422,0.42578,489.99,34.78,35.52,0.040966
188,0.41797,0.42734,478.58,34.488,37.307,0.035422
189,0.46016,0.40469,475.14,33.95,34.776,0.031135
190,0.39844,0.43672,476.6,34.44,36.198,0.040476
191,0.42578,0.41328,486.47,35.039,36.976,0.037867
192,0.42734,0.45781,501.71,39.152,36.563,0.041809
193,0.40469,0.43984,493.69,38.836,37.034,0.039274
194,0.43672,0.49766,491.78,34.84,35.35,0.034427
195,0.41328,0.41719,491.51,34.853,35.221,0.040431
196,0.45781,0.49609,474.79,34.109,36.608,0.041694
197,0.43984,0.5,503.09,35.644,36.837,0.042512
198,0.49766,0.44063,466.48,34.557,35.064,0.037929
199,0.41719,0.44687,484.03,34.973,36.305,0.041359
200,0.49609,0.50234,472.88,34.499,35.072,0.038442
201,0.5,0.39766,493.98,35.062,34.749,0.04284
