step,ppo_actor/task_reward/avg,rollout/reward,ppo_actor/seq_len/avg,timeperf/train_step,timeperf/update_weights,timeperf/rollout
1,0.36562,0.38535,498.41,38.483,43.973,30.029
2,0.36953,0.38499,513.63,34.429,41.049,0.028504
3,0.39141,0.34441,512.06,34.664,39.742,0.037123
4,0.42031,0.40625,508.02,34.122,40.553,0.034273
5,0.37344,0.42656,515.33,37.404,39.803,0.031199
6,0.32422,0.28125,535.65,37.618,40.231,0.040293
7,0.37813,0.40312,516.3,38.015,40.14,0.030424
8,0.40625,0.41562,488.31,33.965,37.996,0.038786
9,0.42656,0.32031,509.54,37.464,40.654,0.029926
10,0.28125,0.35,538.04,35.348,40.811,0.042186
11,0.40312,0.40937,512.31,37.452,38.159,0.037986
12,0.41563,0.35391,501.52,34.761,39.894,0.038872
13,0.32031,0.40781,507.04,34.739,37.373,0.038485
14,0.35,0.43672,518.16,38.483,33.115,0.032847
15,0.40938,0.36172,497.11,34.525,34.883,0.032503
16,0.35391,0.34062,518.34,34.964,33.913,0.035372
17,0.40781,0.33984,506.08,36.087,35.027,0.038751
18,0.43672,0.37344,493.14,34.721,35.081,0.028003
19,0.36172,0.42422,513.56,35.158,34.151,0.037029
20,0.34062,0.43672,520.0,37.694,34.51,0.03888
21,0.33984,0.42266,530.71,35.676,34.273,0.039545
22,0.37344,0.43516,515.77,38.129,32.762,0.036672
23,0.42422,0.40078,504.44,37.891,34.058,0.039802
24,0.43672,0.40078,500.82,35.151,34.617,0.029123
25,0.42266,0.41875,495.04,34.505,33.234,0.038215
26,0.43516,0.42109,491.62,34.319,33.544,0.033313
27,0.40078,0.30938,508.77,34.674,33.806,0.038499
28,0.40078,0.36484,498.55,38.183,34.475,0.034362
29,0.41875,0.36484,519.39,38.319,35.979,0.037841
30,0.42109,0.3875,494.95,38.505,33.806,0.038092
31,0.30937,0.42734,523.97,37.084,33.552,0.034818
32,0.36484,0.425,533.07,37.112,33.5,0.043225
33,0.36484,0.37969,504.5,34.582,34.028,0.032573
34,0.3875,0.42656,506.83,34.04,35.517,0.038442
35,0.42734,0.36641,500.82,35.163,33.872,0.040471
36,0.425,0.3625,504.3,37.558,33.653,0.031739
37,0.37969,0.37813,510.41,37.006,35.191,0.027086
38,0.42656,0.36719,505.67,37.712,33.255,0.042071
39,0.36641,0.37109,500.51,37.824,34.496,0.036357
40,0.3625,0.31953,516.92,37.927,35.495,0.039158
41,0.37813,0.38437,512.98,40.724,35.983,0.28484
42,0.36719,0.43125,517.0,35.142,35.105,0.038979
43,0.37109,0.39531,511.23,34.935,35.621,0.037016
44,0.31953,0.43125,521.35,35.575,34.832,0.039669
45,0.38438,0.47656,515.9,35.638,34.795,0.042205
46,0.43125,0.38437,487.59,34.741,33.417,0.039328
47,0.39531,0.48359,516.85,38.859,33.218,0.027641
48,0.43125,0.48125,500.62,35.291,35.15,0.037741
49,0.47656,0.43281,471.15,33.539,35.305,0.036982
50,0.38438,0.41484,509.03,34.789,33.499,0.035016
51,0.48359,0.40391,479.51,33.646,34.784,0.04001
52,0.48125,0.40938,492.15,34.65,36.216,0.03955
53,0.43281,0.36406,498.51,34.624,35.766,0.028283
54,0.41484,0.35781,508.65,35.136,34.627,0.037731
55,0.40391,0.36719,495.37,33.917,35.592,0.035616
56,0.40938,0.375,492.09,34.012,35.679,0.037856
57,0.36406,0.36094,515.31,37.855,33.535,0.032311
58,0.35781,0.40078,503.98,34.255,34.304,0.040306
59,0.36719,0.37187,504.12,37.765,35.183,0.029214
60,0.375,0.42422,524.97,37.316,34.822,0.040911
61,0.36094,0.48359,494.88,33.905,35.795,0.033184
62,0.40078,0.36328,507.38,38.07,34.519,0.034718
63,0.37187,0.37109,507.55,34.626,35.395,0.031485
64,0.42422,0.40469,497.51,34.083,32.983,0.036762
65,0.48359,0.4,492.12,37.876,33.055,0.039889
66,0.36328,0.43516,500.33,37.88,35.518,0.041597
67,0.37109,0.43281,500.35,34.337,35.415,0.026272
68,0.40469,0.425,514.63,38.264,35.294,0.037376
69,0.4,0.41953,491.06,34.162,36.026,0.036303
70,0.43516,0.38672,493.24,34.741,36.36,0.038951
71,0.43281,0.46484,483.32,34.258,36.057,0.038315
72,0.425,0.40078,503.92,38.57,35.711,0.032962
73,0.41953,0.39531,486.43,34.217,35.338,0.038794
74,0.38672,0.36094,506.97,37.595,35.887,0.033944
75,0.46484,0.45469,484.55,34.198,36.1,0.041766
76,0.40078,0.38828,512.6,38.386,34.387,0.03838
77,0.39531,0.42891,501.22,35.641,33.818,0.038711
78,0.36094,0.40625,496.41,38.915,33.283,0.034872
79,0.45469,0.47734,493.27,35.463,33.182,0.039883
80,0.38828,0.49687,507.41,35.767,34.559,0.040233
81,0.42891,0.44609,488.45,35.592,33.891,0.041555
82,0.40625,0.41016,503.38,39.604,34.721,0.029791
83,0.47734,0.41406,467.09,35.751,35.125,0.03594
84,0.49687,0.36719,476.6,35.981,35.23,0.028536
85,0.44609,0.40781,473.65,35.814,35.365,0.035705
86,0.41016,0.4625,473.71,34.803,36.013,0.038473
87,0.41406,0.36172,487.04,35.245,34.983,0.32787
88,0.36719,0.39531,515.22,36.507,35.672,0.035828
89,0.40781,0.46797,484.23,35.144,34.743,0.020792
90,0.4625,0.42031,470.22,36.173,33.857,0.039336
91,0.36172,0.45156,517.28,36.653,33.792,0.03319
92,0.39531,0.44531,474.65,34.985,34.509,0.039938
93,0.46797,0.42031,486.51,35.277,34.688,0.039399
94,0.42031,0.44687,494.49,36.223,34.891,0.030407
95,0.45156,0.45625,493.21,36.497,33.38,0.032619
96,0.44531,0.40781,482.73,35.305,33.592,0.03904
97,0.42031,0.39922,484.39,35.226,34.859,0.036227
98,0.44688,0.41875,484.4,35.103,33.795,0.037481
99,0.45625,0.39922,489.2,35.139,35.542,0.029161
100,0.40781,0.45781,502.65,36.915,34.796,0.031039
101,0.39922,0.40859,488.12,35.096,35.066,0.037003
102,0.41875,0.47891,494.35,35.936,34.47,0.037668
103,0.39922,0.46563,495.48,36.362,34.134,0.036908
104,0.45781,0.4375,477.1,35.514,33.269,0.044663
105,0.40859,0.45234,486.41,36.281,33.181,0.040287
106,0.47891,0.44453,473.32,35.228,35.932,0.026003
107,0.46562,0.39141,476.79,36.016,34.752,0.037716
108,0.4375,0.44141,491.22,36.115,34.305,0.035711
109,0.45234,0.40078,489.46,36.224,35.406,0.036699
110,0.44453,0.43281,477.75,35.303,34.952,0.036984
111,0.39141,0.36953,495.81,34.825,34.963,0.040253
112,0.44141,0.47734,490.19,34.445,32.662,0.03838
113,0.40078,0.42969,474.45,34.179,33.208,0.036534
114,0.43281,0.39844,494.65,34.642,33.355,0.038322
115,0.36953,0.43047,505.67,34.903,34.708,0.038351
116,0.47734,0.38984,472.7,34.35,34.025,0.035228
117,0.42969,0.40859,485.53,34.341,34.146,0.032423
118,0.39844,0.39609,499.36,38.841,35.505,0.042166
119,0.43047,0.44219,501.55,35.163,36.332,0.038008
120,0.38984,0.42578,508.89,35.329,36.448,0.03277
121,0.40859,0.44688,481.04,34.105,84.975,0.03174
122,0.39609,0.40313,476.13,34.076,40.943,0.03931
123,0.44219,0.45937,456.66,34.076,33.528,0.039125
124,0.42578,0.40625,463.83,33.924,35.352,0.039389
125,0.44688,0.42266,479.96,34.234,34.899,0.045999
126,0.40312,0.41172,486.11,34.448,34.784,0.033021
127,0.45937,0.42109,473.33,34.244,36.448,0.040735
128,0.40625,0.42578,488.53,34.515,33.775,0.041381
129,0.42266,0.43359,492.56,34.784,35.528,0.041429
130,0.41172,0.39609,488.94,34.721,34.611,0.038261
131,0.42109,0.48984,497.18,35.736,34.565,0.042067
132,0.42578,0.34219,488.1,35.23,35.026,0.039069
133,0.43359,0.33359,493.4,35.265,34.111,0.28059
134,0.39609,0.45547,487.29,35.114,106.57,0.03997
135,0.48984,0.38672,476.62,37.31,35.304,0.044054
136,0.34219,0.44531,496.81,35.304,35.915,0.029485
137,0.33359,0.45859,497.69,35.116,34.599,0.043133
138,0.45547,0.4625,471.23,34.24,34.557,0.039935
139,0.38672,0.44766,486.21,34.829,34.237,0.040673
140,0.44531,0.36953,483.21,34.932,33.937,0.039055
141,0.45859,0.45547,474.44,34.079,41.955,0.043174
142,0.4625,0.37656,456.41,33.879,44.769,0.030166
143,0.44766,0.425,472.66,34.271,43.103,0.037735
144,0.36953,0.39531,484.65,34.447,35.253,0.040899
145,0.45547,0.35625,476.87,34.301,75.525,0.029281
146,0.37656,0.45938,510.2,35.254,34.455,0.043962
147,0.425,0.42812,489.27,34.662,33.744,0.037503
148,0.39531,0.43672,497.45,35.7,36.051,0.035387
149,0.35625,0.45859,484.21,35.076,34.953,0.044357
150,0.45937,0.45,471.77,35.447,75.603,0.032159
151,0.42812,0.40312,493.11,35.782,35.525,0.036748
152,0.43672,0.37656,482.72,35.022,34.475,0.034349
153,0.45859,0.38437,477.01,35.244,33.359,0.038984
154,0.45,0.42578,478.05,34.522,33.378,0.040931
155,0.40312,0.45391,478.56,34.347,34.385,0.031333
156,0.37656,0.46719,492.32,38.403,35.979,0.044911
157,0.38438,0.39609,494.24,34.839,33.91,0.040848
158,0.42578,0.38594,469.17,34.684,33.419,0.03691
159,0.45391,0.39219,461.17,36.493,35.072,0.043037
160,0.46719,0.40156,475.85,35.655,36.175,0.039258
161,0.39609,0.49219,491.52,35.39,34.361,0.033246
162,0.38594,0.44062,498.69,35.492,33.281,0.037871
163,0.39219,0.49922,486.42,34.186,33.388,0.039392
164,0.40156,0.42969,481.84,33.898,35.205,0.037247
165,0.49219,0.42031,455.64,33.799,34.222,0.03683
166,0.44063,0.43437,482.76,34.21,34.568,0.040246
167,0.49922,0.42422,448.84,33.486,34.714,0.036082
168,0.42969,0.44375,486.51,34.104,36.21,0.035529
169,0.42031,0.375,494.72,34.195,34.064,0.044137
170,0.43437,0.46172,492.63,34.669,35.227,0.039675
171,0.42422,0.47031,453.47,33.767,36.1,0.032526
172,0.44375,0.44766,480.38,33.985,34.907,0.043815
173,0.375,0.42422,490.97,38.094,34.455,0.042435
174,0.46172,0.41172,468.0,34.181,34.234,0.037668
175,0.47031,0.40391,459.06,34.06,36.401,0.029001
176,0.44766,0.41016,474.56,34.434,34.017,0.029197
177,0.42422,0.42344,469.09,33.857,33.446,0.038662
178,0.41172,0.4375,483.87,38.592,33.907,0.03657
179,0.40391,0.44844,486.15,33.789,34.767,0.25294
180,0.41016,0.44453,516.21,38.139,34.699,0.038765
181,0.42344,0.44687,488.06,34.044,35.677,0.045537
182,0.4375,0.46953,480.71,34.655,34.498,0.037404
183,0.44844,0.40703,480.27,34.471,35.911,0.032389
184,0.44453,0.43984,469.48,34.284,36.526,0.036617
185,0.44688,0.38672,450.01,33.807,36.067,0.040539
186,0.46953,0.40625,477.53,34.095,34.879,0.039702
187,0.40703,0.35385,467.53,34.123,34.067,0.040248
188,0.43984,0.28072,462.32,34.3,35.769,0.031265
189,0.38672,0.27521,467.53,34.046,34.626,0.040379
190,0.40625,0.3319,476.42,34.137,33.48,0.042189
191,0.32578,0.32897,492.57,38.44,34.959,0.042104
192,0.29297,0.26964,485.9,34.574,35.893,0.029205
193,0.30703,0.32945,479.42,34.024,35.236,0.029109
194,0.32109,0.30921,482.12,34.379,34.257,0.041303
195,0.30156,0.34583,462.52,34.547,36.326,0.040089
196,0.29922,0.32309,489.17,35.03,34.426,0.040085
197,0.36953,0.3337,452.8,34.271,33.153,0.035026
198,0.35234,0.34874,466.27,34.102,36.373,0.039542
199,0.32656,0.44961,468.09,33.627,108.2,3.3222
200,0.44453,0.4355,485.87,33.884,104.63,0.31751
