step,ppo_actor/task_reward/avg,rollout/reward,ppo_actor/seq_len/avg,timeperf/train_step,timeperf/update_weights,timeperf/rollout
1,0.37109,0.38783,498.69,35.497,43.831,30.111
2,0.37266,0.39159,514.07,35.254,39.371,0.035879
3,0.4,0.34286,512.18,38.49,40.545,0.027557
4,0.42266,0.40625,507.88,35.377,39.938,0.030808
5,0.35938,0.41172,515.68,38.332,41.207,0.037704
6,0.33359,0.28828,535.67,39.094,41.026,0.041007
7,0.37813,0.39531,516.89,39.456,40.348,0.040829
8,0.40625,0.40547,487.95,35.612,41.839,0.046784
9,0.41172,0.31641,512.35,39.005,39.693,0.045825
10,0.28828,0.35391,538.4,39.738,38.999,0.038147
11,0.39531,0.42578,512.76,39.078,41.482,0.049695
12,0.40547,0.34922,501.21,39.128,40.755,0.037928
13,0.31641,0.42344,508.21,36.109,41.186,0.02936
14,0.35391,0.43828,518.95,40.237,39.683,0.047068
15,0.42578,0.36094,498.48,35.554,38.859,0.033595
16,0.34922,0.35078,520.09,36.204,41.25,0.043764
17,0.42344,0.33594,507.97,35.956,41.451,0.036618
18,0.43828,0.36719,495.72,35.733,39.538,0.039229
19,0.36094,0.43125,514.56,39.007,39.745,0.027312
20,0.35078,0.43359,522.01,38.928,40.693,0.029478
21,0.33594,0.41016,532.37,39.077,40.125,0.03023
22,0.36719,0.44062,516.71,39.219,41.192,0.039001
23,0.43125,0.39766,504.67,35.487,38.766,0.037439
24,0.43359,0.38984,501.89,39.901,39.505,0.037169
25,0.41016,0.41875,496.06,35.937,39.264,0.040347
26,0.44063,0.43516,492.15,39.167,40.596,0.02989
27,0.39766,0.32031,507.62,35.95,41.605,0.039826
28,0.38984,0.36797,499.69,39.863,40.858,0.028664
29,0.41875,0.36797,519.13,39.505,38.926,0.052819
30,0.43516,0.38281,495.19,38.683,40.176,0.04201
31,0.32031,0.43047,525.34,38.949,41.198,0.036692
32,0.36797,0.41562,534.85,38.762,39.326,0.047299
33,0.36797,0.38672,505.12,39.108,40.398,0.029166
34,0.38281,0.42891,507.29,39.008,37.228,0.039625
35,0.43047,0.37031,502.2,35.364,39.772,0.027586
