step,ppo_actor/task_reward/avg,rollout/reward,ppo_actor/seq_len/avg,timeperf/train_step,timeperf/update_weights,timeperf/rollout
1,0.38079,0.36304,489.11,31.491,42.609,28.07
2,0.35995,0.35,520.29,34.722,39.047,19.563
3,0.42824,0.42826,492.84,34.703,41.294,20.812
4,0.37153,0.37391,506.84,34.694,39.792,19.556
5,0.41088,0.41413,509.55,34.231,41.032,20.43
6,0.38889,0.37174,505.7,34.613,39.961,22.744
7,0.39931,0.37826,515.22,36.053,39.77,21.253
8,0.31713,0.31957,534.29,35.314,40.773,21.724
9,0.35648,0.36522,520.11,34.193,41.614,21.747
10,0.39005,0.38043,500.27,33.826,41.145,20.218
11,0.41088,0.39239,484.25,33.898,40.654,19.804
12,0.46296,0.45109,489.76,34.289,40.62,21.24
13,0.35532,0.34239,533.25,40.168,40.784,21.952
14,0.28588,0.26848,531.78,35.435,39.421,21.691
15,0.41088,0.39457,508.38,34.51,39.362,20.161
16,0.4213,0.42609,509.05,34.808,40.336,21.036
17,0.38426,0.36304,512.35,33.593,40.565,20.595
18,0.35069,0.33587,498.42,33.565,38.999,21.109
19,0.40509,0.40326,511.11,34.178,37.53,19.657
20,0.32292,0.33043,522.33,34.236,38.249,21.62
21,0.42361,0.41848,489.35,34.333,40.323,19.747
22,0.36111,0.35543,514.56,33.662,41.531,20.187
23,0.40394,0.39022,513.43,33.47,38.57,20.999
24,0.46644,0.47065,486.09,34.056,41.161,19.502
25,0.40046,0.38696,496.63,34.151,38.924,21.199
26,0.36574,0.35109,507.1,33.717,41.321,21.71
27,0.34144,0.33696,519.02,34.184,38.156,21.783
28,0.40394,0.39783,508.47,33.365,41.371,20.435
29,0.32292,0.32391,537.93,38.084,40.066,20.418
30,0.37616,0.3663,501.84,33.333,39.843,21.489
31,0.39468,0.40978,528.88,33.589,39.872,20.547
32,0.43056,0.41304,495.46,33.843,39.348,20.393
33,0.41088,0.4,498.95,34.247,40.221,21.664
34,0.45139,0.43043,487.15,34.493,40.475,21.251
35,0.44907,0.44891,489.83,34.607,39.579,19.605
36,0.47801,0.46522,476.48,34.275,39.344,21.306
37,0.42593,0.40109,501.82,34.703,41.084,21.039
38,0.39468,0.38587,503.06,35.127,40.051,20.287
39,0.44792,0.42391,488.91,33.735,40.457,21.162
40,0.36343,0.36957,518.63,34.403,38.748,20.623
41,0.51736,0.50435,505.06,34.64,40.013,20.727
42,0.40625,0.38804,493.21,39.12,41.375,20.824
43,0.33102,0.325,519.17,34.49,40.597,21.911
44,0.35648,0.33587,539.89,35.255,39.804,20.763
45,0.3669,0.35435,506.59,34.886,41.908,20.832
46,0.43866,0.41957,497.79,34.585,41.337,21.251
47,0.37731,0.36522,506.22,34.444,41.382,20.772
48,0.43519,0.42935,495.48,33.791,39.429,20.832
49,0.45486,0.43587,489.11,33.783,40.133,20.982
50,0.42361,0.42826,509.47,33.685,40.993,21.068
51,0.35301,0.35543,514.71,33.669,41.387,22.423
52,0.4537,0.4413,499.36,33.496,38.802,20.165
53,0.41551,0.40761,499.39,33.575,40.426,21.335
54,0.38194,0.37935,498.16,34.419,41.791,20.914
55,0.41667,0.3913,500.6,33.2,40.692,19.622
56,0.38889,0.38043,508.79,33.847,39.353,21.267
57,0.38079,0.37391,511.82,34.091,41.488,22.404
58,0.34259,0.3413,535.76,34.805,40.44,19.755
59,0.3912,0.38478,483.07,34.428,41.112,21.48
60,0.37037,0.36087,516.94,33.873,40.393,20.557
61,0.3912,0.39022,494.33,33.194,40.123,19.529
62,0.40046,0.38696,519.26,33.903,40.344,21.925
63,0.40741,0.39891,507.96,33.529,42.716,20.52
64,0.45602,0.45,484.65,33.577,40.1,20.64
65,0.39352,0.3913,521.98,34.829,39.921,21.446
66,0.46875,0.44239,506.34,34.581,39.886,21.594
67,0.45023,0.44674,483.58,33.742,40.034,21.236
68,0.48958,0.4837,459.79,32.144,38.639,20.379
69,0.44097,0.43696,492.02,34.963,40.195,20.459
70,0.45139,0.44783,500.13,33.757,40.69,20.95
71,0.44792,0.4413,478.66,32.496,40.285,21.209
72,0.53241,0.51522,477.46,34.511,39.468,20.85
73,0.47569,0.47391,485.05,34.266,41.39,20.865
74,0.44444,0.42935,485.21,33.374,39.373,20.649
75,0.44676,0.42935,494.54,36.514,39.449,21.434
76,0.43171,0.42935,502.58,34.631,39.538,21.113
77,0.40162,0.4087,486.68,34.565,40.758,19.997
78,0.40741,0.39783,484.31,34.23,40.802,22.148
79,0.37847,0.36087,528.44,39.535,41.898,21.707
80,0.38542,0.38587,485.2,34.234,39.846,21.56
81,0.39352,0.38478,496.9,34.84,38.478,21.119
82,0.41088,0.4087,487.54,34.88,37.81,20.317
83,0.32523,0.32609,540.15,36.11,39.751,22.115
84,0.35532,0.36413,501.64,35.118,41.088,20.868
85,0.41204,0.4,486.93,34.297,40.083,20.884
86,0.40972,0.39348,494.63,35.017,41.133,21.026
87,0.39583,0.37935,518.68,35.46,39.705,21.247
88,0.44444,0.44674,487.12,35.132,40.141,20.324
89,0.40278,0.4,509.91,36.386,39.56,21.407
90,0.49884,0.47609,467.18,36.575,39.919,20.77
91,0.50231,0.47935,490.55,36.243,41.727,21.279
92,0.34722,0.34457,506.35,36.563,38.652,21.129
93,0.32755,0.33696,510.87,34.998,40.266,21.537
94,0.44213,0.43478,491.95,35.155,39.684,19.889
95,0.45949,0.45761,494.76,35.058,38.746,20.808
96,0.36227,0.36196,501.71,36.867,40.512,21.674
97,0.46181,0.44457,474.81,31.571,40.855,21.169
98,0.41782,0.42717,491.27,33.588,39.385,20.381
99,0.45833,0.45435,482.37,33.609,39.595,20.313
100,0.39931,0.38043,497.87,33.867,38.761,21.68
101,0.45486,0.45109,500.06,34.116,40.238,20.81
102,0.46412,0.45761,475.5,35.851,40.145,20.874
103,0.40278,0.39457,502.05,35.247,40.727,19.997
104,0.46991,0.45652,490.0,34.692,39.504,20.324
105,0.44676,0.44348,471.74,31.616,40.29,19.586
106,0.37037,0.36848,528.03,35.598,40.727,23.018
107,0.42245,0.42174,482.7,34.623,39.113,19.707
108,0.3669,0.36304,500.93,34.591,41.033,22.482
109,0.39931,0.40652,485.83,36.746,40.814,21.608
110,0.46065,0.4587,498.05,36.316,41.023,21.227
111,0.44444,0.43804,496.53,36.202,40.422,21.253
112,0.36921,0.36196,508.94,36.72,38.767,19.952
113,0.45949,0.44674,475.53,32.454,40.692,20.225
114,0.37384,0.37065,506.44,35.414,40.829,20.518
115,0.50116,0.49565,476.77,34.642,39.279,20.046
116,0.49884,0.49891,463.26,34.99,39.339,19.164
117,0.49653,0.48696,481.45,35.064,38.88,19.836
118,0.42361,0.41447,478.02,33.189,40.547,21.298
119,0.45602,0.44348,467.81,32.019,39.002,19.509
120,0.39583,0.39239,475.67,32.083,39.7,20.98
121,0.46644,0.46413,488.69,34.509,39.442,19.685
122,0.39815,0.3913,498.23,34.601,40.514,21.459
123,0.31944,0.31522,515.88,35.053,40.571,24.483
124,0.38194,0.37717,481.41,35.359,41.629,20.945
125,0.50231,0.48587,467.31,34.616,40.361,19.773
126,0.47338,0.48152,466.9,31.859,40.401,20.245
127,0.33449,0.31848,535.26,34.292,38.231,23.634
128,0.42824,0.41413,471.95,33.867,38.387,19.93
129,0.43287,0.44348,477.06,34.112,39.699,20.123
130,0.46065,0.46196,502.46,34.674,39.613,20.518
131,0.41435,0.40109,495.78,34.531,40.559,21.873
132,0.40162,0.40761,509.83,34.794,39.05,20.676
133,0.51736,0.49348,463.19,31.947,38.702,19.756
134,0.42824,0.41848,490.54,34.935,39.844,20.851
135,0.40509,0.39674,484.84,35.203,39.794,21.375
136,0.46759,0.45652,487.03,34.64,37.586,21.156
137,0.4294,0.41304,487.98,35.122,38.669,21.18
138,0.47917,0.46522,491.0,34.303,39.162,21.027
139,0.44329,0.4337,490.66,34.535,39.601,21.01
140,0.37963,0.37826,501.29,34.145,38.086,20.15
141,0.40509,0.41087,488.46,33.943,39.832,22.537
142,0.43056,0.42717,492.63,33.89,38.535,21.308
143,0.40394,0.39022,493.97,34.221,39.09,21.86
144,0.41898,0.40326,487.75,33.356,38.655,20.4
145,0.46296,0.44891,482.81,34.357,39.281,21.168
146,0.47569,0.45435,470.16,34.157,39.866,21.129
147,0.35185,0.35543,498.9,34.561,41.155,20.918
148,0.53588,0.51087,462.42,31.498,39.035,20.237
149,0.44329,0.4337,478.74,32.273,40.745,20.131
150,0.50926,0.49022,480.83,33.704,39.617,20.593
151,0.44907,0.42935,489.14,34.238,40.866,21.357
152,0.45255,0.43804,496.99,34.248,41.346,21.607
