step,ppo_actor/task_reward/avg,rollout/reward,ppo_actor/seq_len/avg,timeperf/train_step,timeperf/update_weights,timeperf/rollout
1,-0.63359,-0.65169,475.72,27.481,43.83,29.431
2,-0.625,-0.59466,491.32,25.759,41.489,0.023781
3,-0.71797,-0.71762,486.71,28.731,38.68,0.028202
4,-0.61719,-0.67535,485.91,26.218,38.913,0.0392
5,-0.60781,-0.60823,495.23,26.89,39.572,0.029326
6,-0.76016,-0.75078,513.62,31.555,40.58,0.036717
7,-0.71094,-0.66641,495.27,26.691,37.878,0.041333
8,-0.56484,-0.62891,467.97,26.349,38.811,0.041367
9,-0.61094,-0.72422,490.21,26.823,41.475,0.026292
10,-0.75078,-0.65625,519.94,32.852,39.709,0.042638
11,-0.66641,-0.65547,494.42,26.964,39.173,0.032297
12,-0.62891,-0.70625,480.24,26.615,41.309,0.034696
13,-0.72422,-0.61172,486.93,27.5,41.165,0.040277
14,-0.65625,-0.59844,500.56,33.552,38.173,0.038938
15,-0.65547,-0.67734,473.5,26.432,38.222,0.038367
16,-0.70625,-0.62422,502.51,32.493,39.008,0.031316
17,-0.61172,-0.70703,486.41,26.742,38.573,0.03942
18,-0.59844,-0.66484,470.86,25.764,38.748,0.042009
19,-0.67734,-0.67734,497.63,26.811,40.962,0.048195
20,-0.62422,-0.61953,504.89,32.411,40.619,0.036882
21,-0.70703,-0.65469,512.27,32.811,40.423,0.038026
22,-0.66484,-0.58906,499.16,32.562,40.337,0.040116
23,-0.67734,-0.64844,486.63,26.754,39.114,0.034068
24,-0.61953,-0.68984,480.9,26.187,37.69,0.030369
25,-0.65469,-0.69922,474.79,26.048,40.571,0.033742
26,-0.58906,-0.61875,470.49,26.777,40.304,0.035308
27,-0.64844,-0.71719,487.46,26.994,40.577,0.040431
28,-0.68984,-0.76563,483.68,27.072,40.746,0.031519
29,-0.69922,-0.66484,504.28,33.473,40.172,0.036547
30,-0.61875,-0.62578,474.6,27.249,40.405,0.033248
31,-0.71719,-0.62656,508.55,33.124,40.085,0.040772
32,-0.76562,-0.65547,521.11,32.816,41.592,0.031645
33,-0.66484,-0.70391,489.34,26.885,38.441,0.0353
34,-0.62578,-0.59297,489.58,27.077,39.65,0.038641
35,-0.62656,-0.61875,481.96,27.594,38.807,0.034367
36,-0.65547,-0.67188,487.1,26.532,40.179,0.034683
37,-0.70391,-0.73281,495.89,27.162,39.378,0.026529
38,-0.59297,-0.67734,488.28,27.161,40.084,0.030163
39,-0.61875,-0.67813,489.15,26.961,39.917,0.039394
40,-0.67188,-0.69687,503.69,32.794,39.186,0.04094
41,-0.73281,-0.72734,495.81,32.745,39.619,0.21038
42,-0.67734,-0.57891,499.58,33.518,40.639,0.034703
43,-0.67813,-0.76562,497.88,33.341,39.321,0.028365
44,-0.69687,-0.64609,508.16,33.121,39.877,0.040729
45,-0.72734,-0.59219,502.05,33.288,39.499,0.035714
46,-0.57891,-0.68516,474.99,26.943,38.084,0.03674
47,-0.76562,-0.51875,500.85,33.26,39.012,0.033353
48,-0.64609,-0.62969,483.93,27.336,38.909,0.032544
49,-0.59219,-0.63203,454.55,26.154,38.767,0.04086
50,-0.68516,-0.67266,494.86,27.439,39.219,0.0381
51,-0.51875,-0.61484,463.46,26.618,38.724,0.038719
52,-0.62969,-0.63672,479.39,27.122,40.722,0.036119
53,-0.63203,-0.69531,486.65,27.674,40.941,0.040835
54,-0.67266,-0.61953,491.86,27.402,41.355,0.030741
55,-0.61484,-0.63984,483.08,27.077,39.501,0.042673
56,-0.63672,-0.73984,479.14,26.607,39.344,0.040114
57,-0.69531,-0.63672,502.85,32.993,40.209,0.036533
58,-0.61953,-0.71172,492.09,27.849,40.394,0.039415
59,-0.63984,-0.65234,493.77,27.9,40.157,0.039156
60,-0.73984,-0.63359,511.2,33.669,39.369,0.030464
61,-0.63672,-0.65156,482.62,26.313,40.251,0.033483
62,-0.71172,-0.62578,498.9,33.014,38.61,0.038578
63,-0.65234,-0.67031,493.89,32.181,40.701,0.038105
64,-0.63359,-0.67734,486.76,27.345,39.699,0.041378
65,-0.65156,-0.62578,476.22,27.035,39.073,0.039556
66,-0.62578,-0.68828,490.4,27.1,39.876,0.035478
67,-0.67031,-0.59922,491.38,27.656,40.023,0.038673
68,-0.67734,-0.65391,502.43,32.815,40.207,0.04182
69,-0.62578,-0.57031,480.08,26.87,39.286,0.034391
70,-0.68828,-0.66406,481.63,26.66,40.587,0.036079
71,-0.59922,-0.62109,468.9,26.808,40.622,0.038704
72,-0.65391,-0.67969,491.37,27.053,39.988,0.038797
73,-0.57031,-0.60859,474.5,26.544,38.683,0.03982
74,-0.66406,-0.63047,496.46,27.146,38.045,0.040497
75,-0.62109,-0.64063,474.61,26.326,38.886,0.033597
76,-0.67969,-0.68438,500.77,31.987,38.792,0.037506
77,-0.60859,-0.53359,495.17,26.958,38.023,0.046022
78,-0.63047,-0.61094,481.44,26.82,37.317,0.03955
79,-0.64062,-0.48672,481.94,26.514,40.546,0.030296
80,-0.68437,-0.53672,497.65,32.386,37.617,0.039138
81,-0.53359,-0.55859,478.96,26.772,38.028,0.039021
82,-0.61094,-0.55313,493.8,26.91,40.119,0.035397
83,-0.48672,-0.63125,454.95,26.603,40.243,0.040211
84,-0.53672,-0.67422,467.72,26.158,39.187,0.041404
85,-0.55859,-0.58984,464.44,26.373,39.319,0.044173
86,-0.55313,-0.53281,465.07,26.117,38.534,0.036573
87,-0.63125,-0.73203,474.73,26.497,37.431,0.28301
88,-0.67422,-0.55234,506.38,32.982,39.045,0.02974
89,-0.58984,-0.63984,473.61,26.758,35.318,0.033184
90,-0.53281,-0.5375,464.51,26.388,35.65,0.033544
91,-0.73203,-0.54766,508.74,33.264,37.217,0.029242
92,-0.55234,-0.57031,466.73,26.626,36.782,0.034523
93,-0.63984,-0.625,477.9,26.932,34.39,0.030245
94,-0.5375,-0.60938,485.64,26.862,37.07,0.040144
95,-0.54766,-0.58437,483.37,26.572,33.464,0.037267
96,-0.57031,-0.65859,472.65,26.745,36.306,0.034284
97,-0.625,-0.61172,475.26,26.916,34.997,0.028658
98,-0.60938,-0.64687,471.25,27.003,36.188,0.039698
99,-0.58438,-0.65781,478.0,26.98,34.806,0.040524
100,-0.65859,-0.59297,490.22,27.335,35.644,0.035584
