step,ppo_actor/task_reward/avg,rollout/reward,ppo_actor/seq_len/avg,timeperf/train_step,timeperf/update_weights,timeperf/rollout
1,0.37109,0.38282,496.44,32.982,58.45,31.417
2,0.36719,0.33187,514.71,31.804,43.924,0.032837
3,0.38047,0.37891,512.07,31.134,39.375,0.041881
4,0.41641,0.41172,508.31,32.546,40.242,0.028037
5,0.36094,0.42813,516.32,31.447,39.955,0.04076
6,0.32812,0.29141,535.7,34.522,39.596,0.043409
7,0.37891,0.40156,515.99,31.678,39.666,0.037277
8,0.41172,0.41406,488.71,26.459,75.147,0.043061
9,0.42812,0.3125,510.78,32.229,38.655,0.036241
10,0.29141,0.36484,539.07,34.973,39.013,0.045388
11,0.40156,0.41094,513.33,31.845,38.58,0.039856
12,0.41406,0.35469,502.4,31.16,38.948,0.037307
13,0.3125,0.39766,507.78,31.62,36.905,0.047513
14,0.36484,0.43516,517.89,31.396,35.943,0.04618
15,0.41094,0.35781,497.45,31.558,35.332,0.047397
16,0.35469,0.35078,519.69,31.325,33.482,0.03592
17,0.39766,0.33516,507.24,32.049,59.95,0.04743
18,0.43516,0.38359,493.67,31.638,59.84,0.0473
19,0.35781,0.43281,513.81,32.58,34.079,0.048988
