step,ppo_actor/task_reward/avg,rollout/reward,ppo_actor/seq_len/avg,timeperf/train_step,timeperf/update_weights,timeperf/rollout
1,0.39941,0.37521,492.89,25.458,41.594,25.993
2,0.34668,0.40463,517.2,28.722,41.185,0.028
3,0.37012,0.34667,509.71,28.696,39.814,0.02841
4,0.42871,0.34961,511.52,29.94,39.776,0.0427
5,0.3916,0.37988,508.28,29.876,38.848,0.035082
6,0.36523,0.41504,513.47,30.666,39.669,0.035701
7,0.34473,0.43848,533.41,33.206,38.486,0.03483
8,0.34961,0.31836,527.02,31.283,38.137,0.032801
9,0.37988,0.31445,506.54,30.798,38.403,0.040283
10,0.41504,0.39941,489.59,30.842,37.447,0.03255
11,0.43848,0.43262,506.88,29.883,38.014,0.037638
12,0.31836,0.31445,535.26,30.457,40.052,0.037408
13,0.31445,0.37988,526.49,30.679,37.52,0.036464
14,0.39941,0.3291,524.86,30.499,39.234,0.027068
15,0.43262,0.44922,485.12,25.525,40.562,0.033355
16,0.31445,0.33203,502.51,29.027,37.699,0.036968
17,0.37988,0.39746,517.07,30.048,42.164,0.039394
18,0.3291,0.50879,522.76,30.51,39.989,0.036513
19,0.44922,0.34766,489.03,25.675,41.459,0.047391
20,0.33203,0.35059,521.55,30.945,39.315,0.037567
21,0.39746,0.36621,516.87,29.999,39.685,0.036479
22,0.50879,0.33984,469.22,25.37,38.708,0.035267
23,0.34766,0.37402,505.3,31.041,125.92,0.030185
24,0.35059,0.45508,525.98,31.549,130.61,0.041985
25,0.36621,0.40918,512.72,30.785,98.383,0.037273
26,0.33984,0.44141,526.59,32.012,44.129,0.029472
27,0.37402,0.42285,512.84,29.792,37.506,0.038405
28,0.45508,0.45801,505.13,29.553,42.32,0.035922
29,0.40918,0.43457,492.05,24.295,38.238,0.031278
30,0.44141,0.38184,497.13,29.515,41.853,0.036625
31,0.42285,0.43555,489.82,25.999,37.703,0.031387
32,0.45801,0.42578,485.13,26.275,39.678,0.03463
33,0.43457,0.49609,494.63,31.108,41.623,0.021414
34,0.38184,0.37793,496.35,31.011,42.757,0.029557
35,0.43555,0.31934,489.26,26.219,40.846,0.03598
36,0.42578,0.42773,498.79,31.491,38.492,0.02538
37,0.49609,0.40039,489.9,25.886,39.42,0.032361
38,0.37793,0.37012,496.08,25.984,39.785,0.039537
39,0.31934,0.44922,527.39,34.524,41.189,0.034731
40,0.42773,0.45605,511.91,31.213,39.573,0.035978
41,0.40039,0.45703,482.04,25.627,40.87,0.029613
42,0.37012,0.41016,488.2,25.8,39.278,0.035
43,0.44922,0.49512,490.1,25.875,39.589,0.032716
44,0.45605,0.36133,472.58,25.37,59.5,0.03346
45,0.45703,0.40625,494.98,30.441,45.779,0.033412
46,0.41016,0.40039,489.62,25.7,47.139,0.034026
47,0.49512,0.43262,480.87,25.806,81.55,0.035729
48,0.36133,0.32715,502.22,30.924,40.385,0.030834
49,0.40625,0.4209,473.82,25.406,39.281,0.036916
50,0.40039,0.36621,506.97,30.951,61.64,0.030386
51,0.43262,0.37402,481.0,25.825,41.313,0.035969
52,0.32715,0.43359,535.66,33.795,41.355,0.036638
53,0.4209,0.41797,468.05,25.117,40.672,0.28987
54,0.36621,0.46387,502.63,30.873,39.646,0.034215
55,0.37402,0.40625,496.02,30.444,39.156,0.041497
56,0.43359,0.45898,497.04,30.643,39.102,0.033799
57,0.41797,0.45703,486.86,25.502,38.209,0.037552
58,0.46387,0.41406,467.1,26.085,38.793,0.037518
59,0.40625,0.41797,497.41,30.428,40.171,0.032401
60,0.45898,0.48633,482.12,25.913,39.499,0.04004
61,0.45703,0.50195,461.07,24.711,40.788,0.036715
62,0.41406,0.45801,478.6,25.657,39.744,0.035905
63,0.41797,0.44141,485.42,26.115,57.998,0.034334
64,0.48633,0.4502,468.95,25.404,55.626,0.033244
65,0.50195,0.43457,467.74,24.84,39.561,0.036543
66,0.45801,0.43262,473.34,25.404,39.116,0.036884
67,0.44141,0.33984,493.87,30.404,38.747,0.035314
68,0.4502,0.38086,484.66,26.139,38.706,0.036096
69,0.43457,0.35352,473.67,24.777,39.803,0.035115
70,0.43262,0.38477,467.65,25.022,141.75,0.040241
71,0.33984,0.35645,522.33,31.186,38.874,0.025942
72,0.38086,0.36621,481.27,25.814,41.039,0.036155
73,0.35352,0.39844,490.31,29.368,38.679,0.035323
74,0.38477,0.37988,493.08,25.297,38.981,0.041683
75,0.35645,0.37891,510.22,31.024,40.205,0.034289
76,0.36621,0.38281,495.07,30.69,39.801,0.035494
77,0.39844,0.49219,472.24,26.158,39.068,0.043581
78,0.37988,0.44922,504.09,31.533,39.258,0.030142
79,0.37891,0.3584,497.9,31.409,38.456,0.033841
80,0.38281,0.34766,493.53,26.048,38.511,0.036566
81,0.49219,0.39648,468.37,25.557,41.173,0.039224
82,0.44922,0.37598,486.28,26.02,39.206,0.036344
83,0.3584,0.38184,497.15,25.819,40.557,0.03552
84,0.34766,0.3877,497.11,30.949,39.482,0.036936
85,0.39648,0.40332,491.42,31.023,40.344,0.033939
86,0.37598,0.36621,481.2,25.324,41.588,0.035515
87,0.38184,0.4082,485.06,26.035,39.329,0.036105
88,0.3877,0.42871,492.35,31.331,40.284,0.031825
89,0.40332,0.32812,469.59,25.545,41.119,0.037199
